D:\CrystaLLM\.venv\lib\site-packages\torch\nn\modules\transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[load] reading v28_train.parquet ...
[load] reading v28_val.parquet ...
[load] train bytes: 2,000,000  val bytes: 100,000
[data] train=2,000,000 bytes  val=100,000 bytes

>>> V50 BYTE-LEVEL SANITY: 50M, 8000 steps, eval @ (500, 2000, 4000, 6000, 8000), ¦Á_max=0.1 <<<

======================================================================
[Exp32 v50_byte_sanity] d_model=640 nhead=8 layers=10
  steps=8000  lr=5e-05  warmup=100  ¦Á_max=0.1
  batch=32  seq_len=64  vocab=256  do_eval=True
======================================================================
  params: 49,605,120 (49.6M)
  step  7100/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9836  mem=1.8GB  elapsed=343s
  step  7200/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9673  mem=1.8GB  elapsed=347s
  step  7300/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9501  mem=1.8GB  elapsed=350s
  step  7400/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9395  mem=1.8GB  elapsed=353s
  step  7500/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9283  mem=1.8GB  elapsed=356s
  step  7600/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9548  mem=1.8GB  elapsed=360s
  step  7700/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9187  mem=1.8GB  elapsed=363s
  step  7800/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9309  mem=1.8GB  elapsed=366s
  step  7900/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9173  mem=1.8GB  elapsed=369s
  step  8000/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9193  mem=1.8GB  elapsed=373s
  >>> ckpt@8000: TF=5.40  argmax=56.17  soft=33.65  soft-adv=+40.10%  ¦¤(infer-train)=28.24  time=373s
[saved] -> experiments/v49_pre/results/exp32c_v50_byte_alpha01_8k.final.pt
[saved] -> experiments/v49_pre/exp32c_results.json
